Year, Week, Age Group,A (H1),A (Unable to Subtype),A (H3),A (H1N1)pdm09,A (Subtyping not Performed),B (Victoria Lineage),B (Yamagata Lineage),B (Lineage Unspecified),H3N2v
2019,22,5-24 yr,0,0,17,4,0,9,4,8,0
2019,23,5-24 yr,0,0,13,8,0,10,0,10,0
2019,24,5-24 yr,0,0,16,8,1,8,0,5,0
2019,25,5-24 yr,0,0,12,0,0,5,0,5,0
2019,26,5-24 yr,0,0,8,3,0,5,1,1,0
2019,27,5-24 yr,0,0,10,4,0,1,1,0,0
2019,28,5-24 yr,0,0,2,1,0,1,0,2,0
2018,40,25-64 yr,0,0,3,11,4,1,4,0,0
2018,41,25-64 yr,0,0,3,12,1,1,2,0,0
2018,42,25-64 yr,0,0,6,18,6,0,3,0,0
2018,43,25-64 yr,0,0,12,21,2,0,5,0,0
2018,44,25-64 yr,0,0,7,26,1,0,3,0,0
2018,45,25-64 yr,0,0,4,35,6,0,4,0,0
2018,46,25-64 yr,0,0,8,40,2,1,3,0,0
2018,47,25-64 yr,0,0,16,66,3,1,0,0,0
2018,48,25-64 yr,0,0,13,115,9,0,3,1,0
2018,49,25-64 yr,0,0,22,105,6,0,3,1,0
2018,50,25-64 yr,0,0,39,219,7,2,1,0,0
2018,51,25-64 yr,0,0,50,375,20,5,2,2,0
2018,52,25-64 yr,0,0,73,433,50,7,3,2,0
2019,1,25-64 yr,0,0,85,463,70,1,5,0,0
2019,2,25-64 yr,0,0,61,530,44,2,6,0,0
2019,3,25-64 yr,0,0,78,539,30,1,5,0,0
2019,4,25-64 yr,0,0,106,539,37,7,3,3,0
2019,5,25-64 yr,0,0,186,617,26,9,3,1,0
2019,6,25-64 yr,0,0,260,771,17,7,2,3,0
2019,7,25-64 yr,0,0,277,670,17,5,4,3,0
2019,8,25-64 yr,0,0,365,590,15,6,6,13,0
2019,9,25-64 yr,0,0,424,524,23,6,2,8,0
2019,10,25-64 yr,0,0,426,517,29,10,10,9,0
2019,11,25-64 yr,0,0,469,448,23,6,11,7,0
2019,12,25-64 yr,0,0,377,311,15,9,8,17,0
2019,13,25-64 yr,0,0,252,182,13,12,5,13,0
2019,14,25-64 yr,0,0,185,131,10,18,7,16,0
2019,15,25-64 yr,0,0,142,83,4,19,5,17,0
2019,16,25-64 yr,0,0,73,59,6,14,7,3,0
2019,17,25-64 yr,0,0,42,41,4,10,3,9,0
2019,18,25-64 yr,0,0,44,31,1,8,4,9,0
2019,19,25-64 yr,0,0,29,18,3,10,2,5,0
2019,20,25-64 yr,0,0,26,20,0,9,5,2,0
2019,21,25-64 yr,0,0,19,10,0,4,1,1,0
2019,22,25-64 yr,0,0,16,10,1,6,1,8,0
2019,23,25-64 yr,0,0,21,8,2,7,0,8,0
2019,24,25-64 yr,0,0,15,7,2,5,1,1,0
2019,25,25-64 yr,0,0,15,6,1,5,0,1,0
2019,26,25-64 yr,0,0,12,6,2,5,1,1,0
2019,27,25-64 yr,0,0,4,16,1,5,0,0,0
2019,28,25-64 yr,0,0,3,0,0,0,0,1,0
2018,40,65+ yr,0,0,5,3,1,0,1,0,0
2018,41,65+ yr,0,0,5,4,3,0,1,2,0
2018,42,65+ yr,0,0,6,3,2,0,1,0,0
2018,43,65+ yr,0,0,11,8,0,0,1,1,0
2018,44,65+ yr,0,0,4,3,1,0,1,0,0
2018,45,65+ yr,0,0,4,6,0,0,1,1,0
2018,46,65+ yr,0,0,8,14,2,0,0,0,0
2018,47,65+ yr,0,0,12,15,2,0,4,0,0
2018,48,65+ yr,0,0,17,34,0,0,3,0,0
2018,49,65+ yr,0,0,10,32,1,0,0,1,0
2018,50,65+ yr,0,0,18,71,6,0,2,0,0
2018,51,65+ yr,0,0,43,102,4,1,1,1,0
2018,52,65+ yr,0,0,79,171,7,1,2,1,0
2019,1,65+ yr,0,0,106,215,17,1,4,1,0
2019,2,65+ yr,0,0,61,204,13,0,3,2,0
2019,3,65+ yr,0,0,70,161,12,0,2,0,0
2019,4,65+ yr,0,0,97,216,8,1,2,2,0
2019,5,65+ yr,0,0,144,213,7,2,4,0,0
2019,6,65+ yr,0,0,268,331,6,1,3,1,0
2019,7,65+ yr,0,0,281,291,8,0,4,1,0
2019,8,65+ yr,0,0,326,268,10,3,2,0,0
2019,9,65+ yr,0,0,394,242,11,0,3,0,0
2019,10,65+ yr,0,0,402,235,14,2,7,0,0
2019,11,65+ yr,0,0,474,209,20,3,7,2,0
2019,12,65+ yr,0,0,347,165,12,5,3,4,0
2019,13,65+ yr,0,0,290,86,8,5,6,2,0
2019,14,65+ yr,0,0,265,80,4,1,6,1,0
2019,15,65+ yr,0,0,172,53,4,2,3,0,0
2019,16,65+ yr,0,0,84,30,3,1,2,1,0
2019,17,65+ yr,0,0,49,20,0,3,8,2,0
2019,18,65+ yr,0,0,36,7,3,2,3,0,0
2019,19,65+ yr,0,0,20,11,0,4,4,0,0
2019,20,65+ yr,0,0,14,3,3,3,1,1,0
2019,21,65+ yr,0,0,14,4,1,0,1,1,0
2019,22,65+ yr,0,0,11,2,0,1,5,0,0
2019,23,65+ yr,0,0,14,4,0,2,0,0,0
2019,24,65+ yr,0,0,15,2,0,0,0,0,0
2019,25,65+ yr,0,0,12,2,0,0,0,0,0
2019,26,65+ yr,0,0,16,4,0,1,1,0,0
2019,27,65+ yr,0,0,7,0,0,0,0,0,0
2019,28,65+ yr,0,0,7,2,0,0,0,0,0
2017,40,0-4 yr,0,0,7,2,0,0,0,0,0
2017,41,0-4 yr,0,0,6,4,2,0,2,2,0
2017,42,0-4 yr,0,0,12,4,0,0,1,1,0
2017,43,0-4 yr,0,0,17,7,7,0,0,3,0
2017,44,0-4 yr,0,0,20,5,7,0,3,3,0
2017,45,0-4 yr,0,0,29,3,0,0,1,0,0
2017,46,0-4 yr,0,0,33,12,0,0,2,2,0
2017,47,0-4 yr,0,0,43,10,0,1,4,2,0
2017,48,0-4 yr,0,0,61,5,1,0,4,0,0
