WEEK,YEAR,_WEIGHTED_ILI,AGE_0_4,AGE_25_64,AGE_5_24,AGE_65,ILITOTAL
9,2015,2.51744,4659,X,7265,1095,18788
10,2015,2.40365,4742,X,6832,1089,18143
11,2015,2.20952,4584,X,6188,1023,16988
12,2015,2.08501,4436,X,6126,955,16425
13,2015,1.99699,4207,X,5730,916,15253
14,2015,1.75992,3925,X,4728,903,13988
15,2015,1.58133,3470,X,4309,794,12311
16,2015,1.40304,3200,X,4055,671,11021
17,2015,1.49285,3222,X,4368,621,11311
18,2015,1.42422,3139,X,4171,607,10946
19,2015,1.38085,2819,X,3734,625,9891
20,2015,1.29095,2802,X,3390,488,9289
21,2015,1.2689,2611,X,2834,514,8200
22,2015,1.23618,2235,X,2463,472,7227
23,2015,1.10196,2125,X,2409,465,7034
24,2015,0.991186,1748,X,2158,419,6108
25,2015,0.986438,1912,X,2032,446,6170
26,2015,0.986662,1692,X,1781,386,5455
27,2015,0.903832,1561,X,1761,380,5329
28,2015,0.847875,1505,X,1698,342,5082
29,2015,0.7889,1426,X,1600,331,4908
30,2015,0.784654,1424,X,1540,303,4798
31,2015,0.786636,1413,X,1688,330,4982
32,2015,0.837102,1342,X,1770,296,4971
33,2015,0.85255,1454,X,1916,366,5409
34,2015,0.855974,1686,X,2111,362,5822
35,2015,0.910364,1653,X,2420,330,6240
36,2015,0.95371,1729,X,2310,345,6281
37,2015,1.07347,2021,X,2897,409,7420
38,2015,1.13914,2200,X,3121,447,8099
39,2015,1.14961,2207,X,2936,428,8121
40,2015,1.27228,2866,X,3744,626,10191
41,2015,1.33841,2996,X,3976,676,10640
42,2015,1.40045,3255,X,4346,651,11556
43,2015,1.39238,3135,X,4140,693,11149
44,2015,1.47952,3587,X,4775,694,12450
45,2015,1.54532,3731,X,4712,742,12635
46,2015,1.64238,3952,X,5067,768,13470
47,2015,1.94444,3959,X,4054,703,12123
48,2015,1.72387,4459,X,5071,829,14599
49,2015,1.83466,4590,X,5373,873,14987
50,2015,1.92413,5111,X,5090,936,15338
51,2015,2.36367,5355,X,4297,998,14769
52,2015,2.46448,5681,X,4000,1169,15623
1,2016,1.9951,4768,X,4485,1158,15635
2,2016,2.04124,4559,X,5348,1011,15452
3,2016,2.15824,4760,X,5340,950,15546
4,2016,2.28139,5074,X,6848,1004,18080
5,2016,2.41851,5113,X,7297,1064,18845
6,2016,2.84596,5638,X,8376,1175,21690
7,2016,3.16601,5989,X,9232,1361,24539
8,2016,3.18382,6279,X,10009,1377,26185
9,2016,3.34968,6521,X,11231,1431,28103
10,2016,3.56884,6606,X,11756,1602,30228
11,2016,3.08201,5528,X,9249,1463,24721
12,2016,2.79895,5162,X,8414,1274,21802
13,2016,2.48677,4560,X,7352,1194,19505
14,2016,2.06204,3686,X,6309,1119,16594
15,2016,2.00814,3530,X,6510,1028,16089
16,2016,1.91023,3436,X,6248,938,15221
17,2016,1.73567,3120,X,5496,886,13700
18,2016,1.61214,2754,X,4664,735,11743
19,2016,1.41552,2837,X,4006,660,10612
20,2016,1.35286,2626,X,3551,635,9603
21,2016,1.26418,2520,X,3027,609,8527
22,2016,1.22777,2440,X,2504,521,7694
23,2016,1.1919,2158,X,2204,506,6889
24,2016,1.06881,2035,X,2056,445,6362
25,2016,0.965657,1898,X,1742,317,5474
26,2016,0.889525,1638,X,1517,272,4740
