,Year,Week,Prediction_ILI_lagwk1,Actual_wk1,Prediction_ILI_lagwk2,Actual_wk2,Prediction_ILI_lagwk3,Actual_wk3,Prediction_ILI_lagwk4,Actual_wk4
1,2015,40,1.3661100736467835,1.33029,1.4107197896376151,1.4136799999999998,1.4260703551664773,1.3688200000000001,1.4028243680049064,1.48309
2,2015,41,1.3759364021821403,1.4136799999999998,1.4084944734048133,1.3688200000000001,1.5680967970067985,1.48309,1.5810108516086723,1.54494
3,2015,42,1.4305181905657383,1.3688200000000001,1.5042805199011162,1.48309,1.5654015552705467,1.54494,1.7419638171998593,1.62532
4,2015,43,1.4108736893843234,1.48309,1.5346536486633457,1.54494,1.618923776320074,1.62532,2.355026907619464,1.91565
5,2015,44,1.500108344775509,1.54494,1.5631306435296846,1.62532,1.5307751031619006,1.91565,2.418162991982425,1.74368
6,2015,45,1.6099855431908143,1.62532,1.721587035716402,1.91565,1.800203073138909,1.74368,1.9270863996708754,1.83277
7,2015,46,1.5720642427466633,1.91565,2.087332414909647,1.74368,1.920119824713004,1.83277,2.4758809707829643,1.9781
8,2015,47,1.9582213186252782,1.74368,2.051588907032062,1.83277,1.8582027204836071,1.9781,2.507015895070121,2.42502
9,2015,48,1.6685892942519647,1.83277,1.9421108781644334,1.9781,2.0127865392450355,2.42502,2.5099508359294043,2.42004
10,2015,49,1.8702139683141958,1.9781,2.06214420696566,2.42502,2.187769567058997,2.42004,3.2441567499099957,2.00413
11,2015,50,1.9479815180349633,2.42502,1.9756473405150548,2.42004,2.5556556800279995,2.00413,3.5801338630479456,2.00081
12,2015,51,3.1060334417811872,2.42004,2.65205265888717,2.00413,2.508621423584564,2.00081,3.6899816681445867,2.1187
13,2015,52,2.966645003263053,2.00413,2.8916922714298967,2.00081,2.168021776826232,2.1187,2.011968141057426,2.19506
14,2016,01,2.0313500033537633,2.00081,2.293913447719333,2.1187,3.680040022993247,2.19506,4.0359265618564715,2.31324
15,2016,02,1.8775670312486896,2.1187,2.1403872181830987,2.19506,3.1038098808706085,2.31324,3.84584322973576,2.69449
16,2016,03,2.1005441987710083,2.19506,2.1525895507393877,2.31324,1.9181100608855943,2.69449,2.1219503335765975,2.9892
17,2016,04,2.1318895733098837,2.31324,2.1848457773469314,2.69449,2.7553067468955943,2.9892,3.231219186491941,3.11793
18,2016,05,2.159286438832675,2.69449,2.282455815502301,2.9892,2.499203736321485,3.11793,3.538023396857438,3.33016
19,2016,06,2.6617454630164707,2.9892,2.224175180121675,3.11793,2.462413820379543,3.33016,3.095401128174385,3.59519
20,2016,07,3.462340414048223,3.11793,3.0623348858971076,3.33016,2.3010567314123285,3.59519,2.245621346538405,3.10588
21,2016,08,3.3040545265104697,3.33016,2.995563123464272,3.59519,2.3657786286476252,3.10588,2.0393443485709257,2.80228
22,2016,09,3.4780502871177994,3.59519,3.1919521537328563,3.10588,2.3623666106779595,2.80228,1.982003278229231,2.54771
23,2016,10,3.626484184983023,3.10588,3.348343646367182,2.80228,2.5089282408258393,2.54771,1.9995727789808186,2.13869
24,2016,11,3.2765869362963147,2.80228,3.1642513833364525,2.54771,2.43272885508715,2.13869,2.182230205220683,2.06495
25,2016,12,2.751069361352609,2.54771,3.354639396889428,2.13869,3.2092213163990486,2.06495,3.490144881725004,2.00242
26,2016,13,2.5100236581367947,2.13869,2.1733266138575464,2.06495,1.996557891796652,2.00242,1.928929023118998,1.79787
27,2016,14,2.2113541250245605,2.06495,2.59637866944366,2.00242,1.7440639489154395,1.79787,2.522210387362087,1.62581
28,2016,15,2.2016531596904825,2.00242,2.654632292318039,1.79787,1.6353091827123647,1.62581,2.195968929653085,1.4888700000000001
29,2016,16,1.6761274333397596,1.79787,1.6498695786556934,1.62581,1.4873063431071196,1.4888700000000001,1.6116728653601597,1.45832
30,2016,17,1.6601438692068624,1.62581,1.4508988899637743,1.4888700000000001,1.4363381522129126,1.45832,1.506819862352143,1.4425
31,2016,18,1.5547291533317726,1.4888700000000001,1.4687360680196335,1.45832,1.432834803437835,1.4425,1.3480505366323305,1.38886
32,2016,19,1.3742083846276756,1.45832,1.2855630452631186,1.4425,1.2468934277954977,1.38886,1.2186064496815412,1.19484
33,2016,20,1.37686283105593,1.4425,1.2557007546802876,1.38886,1.2141390828112828,1.19484,1.1781941574893275,1.13307
