YearWeek,Prediction_ILI_lagwk2,Actual
201540,1.3629822411678347,1.4136799999999998
201541,1.3794736340107816,1.3688200000000001
201542,1.4315388428256914,1.48309
201543,1.416238238048129,1.54494
201544,1.5027228435275881,1.62532
201545,1.6349320023012905,1.91565
201546,1.5611645399478156,1.74368
201547,1.9797111238312635,1.83277
201548,1.663920015405561,1.9781
201549,1.8702773582606451,2.42502
201550,1.9849221348489263,2.42004
201551,2.93207445348327,2.00413
201552,2.887433078346654,2.00081
201601,2.105843559856889,2.1187
201602,1.872320215735021,2.19506
201603,2.124692488143347,2.31324
201604,2.084699625332895,2.69449
201605,2.153106400840342,2.9892
201606,2.547933389538326,3.11793
201607,3.4605310091560044,3.33016
201608,3.2874782558404902,3.59519
201609,3.375587268139571,3.10588
201610,3.7428363289033273,2.80228
201611,3.379716000454227,2.54771
201612,2.849253265640046,2.13869
201613,2.475434779938883,2.06495
201614,2.1603137946162962,2.00242
201615,2.207784835419308,1.79787
201616,1.6814704754797225,1.62581
201617,1.659486803143855,1.4888700000000001
201618,1.5520674416911024,1.45832
201619,1.3744081960616987,1.4425
201620,1.3740826261927053,1.38886
